"BehaviorSpace results (NetLogo 6.0.2)"
"Shared Space Model2.nlogo"
"Adjusted"
"04/14/2018 17:08:11:565 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13"
"num-pedestrians","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"car-size","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"pedestrians-spawn-mean","60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,
"average-pedestrian-movespeed","1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,
"average-pedestrian-cautiousness","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"pedestrian-size","2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,
"cars-spawn-mean","9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,
"average-driver-visibility-range","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"vehicle-speed-limit","4",,,,,"4.5",,,,,"5",,,,,"5.5",,,,,"6",,,,,"6.5",,,,,"7",,,,,"7.5",,,,,"8",,,,,"8.5",,,,,"9",,,,,"9.5",,,,,"10",,,,
"num-cars","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"average-driver-cautiousness","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"average-pedestrian-visibility-range","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"deviation-level","0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,,"0.15",,,,
"[steps]","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200","7200"

"[initial & final values]","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents","pedestrian-average-stress-so-far","car-average-stress-so-far","pedestrian-average-time-to-destination","car-average-time-to-destination","num-accidents"
