"BehaviorSpace results (NetLogo 6.0.2)"
"Shared Space Model2.nlogo"
"Adjusted2"
"04/14/2018 17:52:24:345 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-80","80","-80","80"
"[run number]","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","4","4","4","4","4","5","5","5","5","5","6","6","6","6","6","7","7","7","7","7","8","8","8","8","8","9","9","9","9","9","10","10","10","10","10","11","11","11","11","11","12","12","12","12","12","13","13","13","13","13","14","14","14","14","14","15","15","15","15","15","16","16","16","16","16","17","17","17","17","17","18","18","18","18","18","19","19","19","19","19","20","20","20","20","20","21","21","21","21","21","22","22","22","22","22","23","23","23","23","23","24","24","24","24","24","25","25","25","25","25","26","26","26","26","26","27","27","27","27","27"
"num-pedestrians","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"car-size","10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,,"10",,,,
"pedestrians-spawn-mean","60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,,"60",,,,
"average-pedestrian-movespeed","1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,,"1.3",,,,
"average-pedestrian-cautiousness","1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,,"1",,,,
"pedestrian-size","2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,,"2.4",,,,
"cars-spawn-mean","9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,,"9",,,,
"average-driver-visibility-range","20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,,"20",,,,
"vehicle-speed-limit","7",,,,,"7.5",,,,,"8",,,,,"8.5",,,,,"9",,,,,"9.5",,,,,"10",,,,,"10.5",,,,,"11",,,,,"11.5",,,,,"12",,,,,"12.5",,,,,"13",,,,,"13.5",,,,,"14",,,,,"14.5",,,,,"15",,,,,"15.5",,,,,"16",,,,,"16.5",,,,,"17",,,,,"17.5",,,,,"18",,,,,"18.5",,,,,"19",,,,,"19.5",,,,,"20",,,,
